OBJECTID,Sample Site,Sample Station (SS) - Location Description,X - Coordinate,Y - Coordinate,LONGITUDE,LATITUDE,City or Placename,ZIP Code
316,46150,"SS - IFO 20-23 S/S Seagirt Blvd, 2nd SS W/O Beach 20th St, 12""",1052304,156146,-73.75495214,40.59499961,Far Rockaway,11691
317,46250,"SS - S/S Beach Channel Dr, 2nd SS E/O Beach 126th St, 12""",1026511,151266,-73.84785748,40.58176553,Rockaway Park,11694
318,46350,"SS - S/S Astoria Blvd, 1st SS W/O 110th St, 12""",1022904,216238,-73.86047033,40.76011529,East Elmhurst,11369
319,46450,"SS - IFO 150-03 N/S Northern Blvd, 1st SS E/O 150th St, 12""",1035671,218150,-73.81437067,40.76529819,Flushing,11354
320,46850,"SS - IFO 63-01 NW/S Eliot Ave, BTW 63rd & 64th Sts, 12""",1012186,200020,-73.89922649,40.71564129,Maspeth,11378
321,46950,"SS - IFO 118-40 S/S Metropolitan Ave, 2nd SS E/O 118th St IFO 118-18",1030452,196724,-73.83335831,40.70651803,Kew Gardens,11415
322,47150,"SS - IFO 147-19 N/S 7th Ave, 2nd SS W/O 149th St, 12""",1033893,228531,-73.82071252,40.79380139,Whitestone,11357
323,47500,"SS - IFO 20-10 W/S Cross Bay Blvd, BTW W 20th & W22nd Rd, 36""",1033971,157361,-73.82095618,40.59845634,Far Rockaway,11693
324,47550,"SS - E/S Beach 105th St, 2nd SS N/O Shore Front Pkwy, 12""",1032730,151392,-73.8254678,40.58207954,Rockaway Park,11694
325,47650,"SS - N/S Rockaway Point Blvd, 2nd SS W/O Beach 199th St, 20"" (end of divided h'way)",1009613,143617,-73.90872008,40.56083498,Breezy Point,11697
326,47750,"SS - IFO 80 - 29 E/S Little Neck Pkwy, 2nd SS N/O 81st Ave, 20""",1062706,209940,-73.71687094,40.74256536,Glen Oaks,11004
327,47850,"SS - IFO 246-35 N/S Van Zandt Ave, 1st SS W/O 248th St, 12""",1057118,217216,-73.73695773,40.76258385,Little Neck,11362
328,48600,"SS - W/S Rockaway Blvd, BTW S Conduit Ave & 157th St, 48""",1045300,182156,-73.77993664,40.66644235,Jamaica,11434
329,48700,"SS - IFO 160-05 N/S Cross Island Pkwy (service Rd), BTW 160th & 161st Sts, 20""",1039015,225892,-73.80223581,40.78652781,Whitestone,11357
330,49200,"SS - S/S Jewel Ave, BTW Main St & 141st Sts, 72""",1033124,205328,-73.82365848,40.73011954,Flushing,11367
331,50050,"SS - N/S Hylan Blvd, 2nd SS W/O Edgewater St, 12""",966574,163485,-74.06366685,40.61538731,Staten Island,10305
332,50200,"SS - IFO 93 N/S Austin Place, BTW Victory Blvd & Ward Ave, 84""",960455,169298,-74.08572724,40.63132845,Staten Island,10304
333,50250,"SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Highland Ave, 20""",957294,165843,-74.09710169,40.62183616,Staten Island,10301
334,50300,"SS - W/S Clove Rd, 1st S/O of Genesee St, SI, 72"" (formerly site 00023)",955759,163383,-74.10262073,40.61507917,Staten Island,10301
335,50600,"SS - N/S Victory Blvd, BTW Pike St & W/O Westervelt Ave, IFO 199 Victory Blvd, 20""",961300,171090,-74.08268901,40.63624934,Staten Island,10301
336,50650,"SS - E/S York Ave, 1st SS N/O Pauw St, 8""",959871,172693,-74.0878435,40.64064541,Staten Island,10301
337,50750,"SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""",929606,132752,-74.19657248,40.53088059,Staten Island,10312
338,50850,"SS - IFO 512 W/S Arlene St,1st SS N/O Dawson Ct, 12""",938156,159775,-74.16599961,40.60510188,Staten Island,10314
339,51050,"SS - IFO 163 E/S Tysens La, 2nd SS N/O Coverly St, 12""",948843,147129,-74.12744602,40.57044031,Staten Island,10306
340,51100,"SS - IFO 1759 NW/S Hylan Blvd, BTW Seaview & Liberty Aves, 48""",958541,152868,-74.09256033,40.58622615,Staten Island,10305
341,51150,"SS - IFO 650 S/S Tysens La, 2nd SS E/O Falcon Ave, 12""",952718,144073,-74.11348388,40.56206682,Staten Island,10306
342,51250,"SS - N/S Clarke Ave, 2nd SS W/O Amber St, 8""",945963,145822,-74.13780504,40.56684089,Staten Island,10306
343,51350,"SS - W/S Clove Rd, 1st SS S/O Tyler Ave (also 1st S/O Broadway), 12""",952915,166107,-74.11287707,40.62254637,Staten Island,10310
344,51450,"SS - IFO 119 E/S Justin Ave, BTW Hooper & O'Gorman Aves, 12""",946956,141680,-74.13420814,40.55547614,Staten Island,10306
345,51550,"SS - W/S Huguenot Ave, 1st SS S/O Sinclair Ave, 12""",929600,136603,-74.19662516,40.5414508,Staten Island,10312
346,51850,"SS - IFO 67 N/S Hill St, 2nd SS W/O Tompkins Ave, 12""",961818,165626,-74.0808045,40.62125315,Staten Island,10304
347,51900,"SS - N/S Vanderbilt Ave, BTW Bay St & Tompkins Ave, 66""",963592,165738,-74.07441455,40.62156488,Staten Island,10304
348,51950,"SS - N/S Sobel Ct, 1st SS E/O Bowen St, 12""",961126,162906,-74.0832879,40.61378553,Staten Island,10304
349,52000,"SS - W/S Clove Rd, Corner of S/O Richmond Terrace, 24""",949042,171355,-74.12685601,40.63693647,Staten Island,10310
350,52050,"SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""",945148,170575,-74.14088172,40.6347792,Staten Island,10302
351,52150,"SS - N/S Goethals Rd N, BTW Domain & Cooke Sts, 12""",940112,164049,-74.15898336,40.61684307,Staten Island,10314
352,52350,"SS - OPP 133 W/S Giffords La, 1st SS N/O Dewey Ave, 12""",942056,141349,-74.15183943,40.55454565,Staten Island,10308
353,52450,"SS - OPP 526 N/S Travis Ave, 1st SS E/O Merrymount St, 12""",940364,154531,-74.15801383,40.59071939,Staten Island,10314
354,52550,"SS - IFO 43 N/S Dongan Hills Ave, 2nd SS N/O Jefferson St, 12""",956309,153545,-74.10059901,40.58807762,Staten Island,10304
355,53500,"SS - E/S Targee St, S/O Baltic Ave, IFO 935 Targee St, 48""",959018,160070,-74.09086988,40.60599555,Staten Island,10304
356,53550,"SS - IFO 130 W/S Lamport Blvd, 2nd SS S/O Kramer St, 8""",962638,156213,-74.07782057,40.59541844,Staten Island,10305
357,55450,"SS - W/S Seguine Ave, 1st SS S/O Kingsland St, 12""",929492,127613,-74.19694101,40.51677432,Staten Island,10309
358,56000,"SS - N/S Hylan Blvd, opposite Holten Ave, 24""",930020,128865,-74.19505205,40.52021406,Staten Island,10309
359,56200,"SS - IFO 855 E/S Bloomingdale Rd, BTW Wirt & Candon Aves, 20""",923133,138620,-74.21991089,40.54694487,Staten Island,10309
360,56300,"SS - E/S Richmond Ave, 1st SS S/O Vedder Ave, 20""",942510,165902,-74.15035733,40.62194078,Staten Island,10314
361,56400,"SS - IFO 328 S/S Henderson Ave, BTW Westbury & Brentwood Aves, 20""",955493,172174,-74.10361628,40.63920774,Staten Island,10301
362,57200,"SS - W/S Richmond Ave, BTW Genesee & Scranton Aves, 48""",937502,140778,-74.16822349,40.55295553,Staten Island,10312
